时间,商品名称,库存变化,单笔销量
2026-04-08 10:58:11,台湾地址,初始销量: -16,16
2026-04-08 10:58:11,国际地址,初始库存: 10000,0
2026-04-08 13:21:11,台湾地址,-16 -> -38,22
2026-04-08 13:21:11,台湾地址,-38 -> -16,-22
2026-04-08 13:21:51,台湾地址,-16 -> -38,22
2026-04-08 13:22:11,台湾地址,-38 -> -16,-22
2026-04-08 13:23:17,台湾地址,-16 -> -38,22
2026-04-08 13:24:04,台湾地址,-38 -> -16,-22
2026-04-08 13:24:16,台湾地址,-16 -> -38,22
2026-04-08 13:24:39,台湾地址,-38 -> -16,-22
2026-04-08 13:24:52,台湾地址,-16 -> -38,22
2026-04-08 13:25:04,台湾地址,-38 -> -16,-22
2026-04-08 13:25:16,台湾地址,-16 -> -38,22
2026-04-08 14:07:42,台湾地址,-38 -> -16,-22
2026-04-08 14:07:55,台湾地址,-16 -> -38,22
2026-04-08 14:08:29,台湾地址,-38 -> -16,-22
2026-04-08 14:08:42,台湾地址,-16 -> -38,22
2026-04-08 14:08:54,台湾地址,-38 -> -16,-22
